PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,NameLen
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,30
439,0,1,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,C23 C25 C27,17
333,0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,25
661,1,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,29
391,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,B96 B98,26
803,1,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,35
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,C93,28
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,27
263,0,1,"Taussig, Mr. Emil",male,52.0,1,1,110413,79.65,E67,17
742,0,1,"Cavendish, Mr. Tyrell William",male,36.0,1,0,19877,78.85,C46,29
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,25
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,27
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,20
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,,27
386,0,2,"Davies, Mr. Charles Henry",male,18.0,0,0,S.O.C. 14879,73.5,,25
656,0,2,"Hickman, Mr. Leonard Mark",male,24.0,2,0,S.O.C. 14879,73.5,,25
666,0,2,"Hickman, Mr. Lewis",male,32.0,2,0,S.O.C. 14879,73.5,,18
746,0,1,"Crosby, Capt. Edward Gifford",male,70.0,1,1,WE/P 5735,71.0,B22,28
337,0,1,"Pears, Mr. Thomas Clinton",male,29.0,1,0,113776,66.6,C2,25
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,27
691,1,1,"Dick, Mr. Albert Adrian",male,31.0,1,0,17474,57.0,B20,23
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,13
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,,13
510,1,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,,14
839,1,3,"Chip, Mr. Chang",male,32.0,0,0,1601,56.4958,,15
435,0,1,"Silvey, Mr. William Baird",male,50.0,1,0,13507,55.9,E44,25
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,27
725,1,1,"Chambers, Mr. Norman Campbell",male,27.0,1,0,113806,53.1,E8,29
749,0,1,"Marvin, Mr. Daniel Warner",male,19.0,1,0,113773,53.1,D30,25
249,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,D35,29
622,1,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1,0,11753,52.5542,D19,28
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,30
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,30
672,0,1,"Davidson, Mr. Thornton",male,31.0,1,0,F.C. 12750,52.0,B71,22
713,1,1,"Taylor, Mr. Elmer Zebley",male,48.0,1,0,19996,52.0,C126,24
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,23
868,0,1,"Roebling, Mr. Washington Augustus II",male,31.0,0,0,PC 17590,50.4958,A24,36
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,23
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,34
684,0,3,"Goodwin, Mr. Charles Edward",male,14.0,5,2,CA 2144,46.9,,27
267,0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295,39.6875,,25
687,0,3,"Panula, Mr. Jaako Arnold",male,14.0,4,1,3101295,39.6875,,24
685,0,2,"Brown, Mr. Thomas William Solomon",male,60.0,1,1,29750,39.0,,33
463,0,1,"Gee, Mr. Arthur H",male,47.0,0,0,111320,38.5,E63,17
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,,28
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,28
340,0,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,T,28
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,22
516,0,1,"Walker, Mr. William Anderson",male,47.0,0,0,36967,34.0208,D46,28
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,25
849,0,2,"Harper, Rev. John",male,28.0,0,1,248727,33.0,,17
626,0,1,"Sutton, Mr. Frederick",male,61.0,0,0,36963,32.3208,D50,21
